ANO;ID_ESPACIA;DEPTO;MUNICIPIO;Y_PROP;Y_PROP2;CUL_ILI;GRUPO_ARMA;ACCION_ARMADA;MINAS;INFRACCIONES_H;ACTO_TERRO
2005;25260;CUNDINAMARCA;EL ROSAL;0,0004443786;0,0504443786;0;0;0;0;0;0
2006;5360;ANTIOQUIA;ITAGUI;0,0004439437;0,0504439437;0;1;1;0;91;2
2014;5697;ANTIOQUIA;EL SANTUARIO;0,0004434590;0,0504434590;0;0;0;0;0;0
2012;25815;CUNDINAMARCA;TOCAIMA;0,0004432133;0,0504432133;0;0;0;0;0;0
2016;17050;CALDAS;ARANZAZU;0,0004427521;0,0504427521;0;0;0;0;0;0
2015;15480;BOYACA;MUZO;0,0004424779;0,0504424779;0;0;0;0;0;0
2010;5607;ANTIOQUIA;RETIRO;0,0004424534;0,0504424534;0;1;0;0;3;0
2011;13647;BOLIVAR;SAN ESTANISLAO;0,0004423940;0,0504423940;0;0;0;0;0;0
2012;25612;CUNDINAMARCA;RICAURTE;0,0004422822;0,0504422822;0;1;1;0;0;0
2014;15104;BOYACA;BOYACA;0,0004422822;0,0504422822;0;0;0;0;0;0
2003;73449;TOLIMA;MELGAR;0,0004419052;0,0504419052;0;1;1;0;27;0
2005;76130;VALLE DEL CAUCA;CANDELARIA;0,0004411744;0,0504411744;0;1;1;0;5;0
2010;73770;TOLIMA;SUAREZ;0,0004411116;0,0504411116;0;0;0;0;0;0
2014;25845;CUNDINAMARCA;UNE;0,0004406742;0,0504406742;0;0;0;0;0;0
2013;94886;GUAINIA;CACAHUAL;0,0004405286;0,0504405286;0;0;0;0;0;0
2013;17272;CALDAS;FILADELFIA;0,0004399859;0,0504399859;0;0;0;0;0;0
2014;25317;CUNDINAMARCA;GUACHETA;0,0004386735;0,0504386735;0;0;0;0;0;0
2010;8078;ATLANTICO;BARANOA;0,0004381241;0,0504381241;0;1;0;0;8;1
2009;68001;SANTANDER;BUCARAMANGA;0,0004380210;0,0504380210;0;1;0;0;45;0
2014;25815;CUNDINAMARCA;TOCAIMA;0,0004374692;0,0504374692;0;0;0;0;0;0
2011;54599;NORTE DE SANTANDER;RAGONVALIA;0,0004372540;0,0504372540;0;1;0;0;7;0
2012;91407;AMAZONAS;LA PEDRERA;0,0004368720;0,0504368720;1;1;0;0;0;0
2010;44560;LA GUAJIRA;MANAURE;0,0004366091;0,0504366091;0;1;0;0;7;0
2011;13001;BOLIVAR;CARTAGENA;0,0004363253;0,0504363253;0;1;0;1;18;0
2002;68322;SANTANDER;GUAPOTA;0,0004363002;0,0504363002;0;1;1;0;2;0
2005;68229;SANTANDER;CURITI;0,0004361479;0,0504361479;0;0;0;0;0;0
2009;68418;SANTANDER;LOS SANTOS;0,0004358438;0,0504358438;0;0;0;0;0;0
2006;15798;BOYACA;TENZA;0,0004352557;0,0504352557;0;0;0;0;0;0
2010;68001;SANTANDER;BUCARAMANGA;0,0004350896;0,0504350896;0;1;0;0;26;0
2011;44855;LA GUAJIRA;URUMITA;0,0004348366;0,0504348366;0;0;0;0;0;0
2015;23182;CORDOBA;CHINU;0,0004347466;0,0504347466;0;0;0;0;0;0
2003;66001;RISARALDA;PEREIRA;0,0004342222;0,0504342222;0;1;1;0;314;3
2016;76130;VALLE DEL CAUCA;CANDELARIA;0,0004342162;0,0504342162;0;0;0;0;0;0
2016;23162;CORDOBA;CERETE;0,0004333507;0,0504333507;0;0;0;0;0;0
2014;54099;NORTE DE SANTANDER;BOCHALEMA;0,0004326507;0,0504326507;0;0;0;0;0;0
2009;68669;SANTANDER;SAN ANDRES;0,0004324792;0,0504324792;0;1;1;0;0;0
2013;20295;CESAR;GAMARRA;0,0004318056;0,0504318056;0;0;0;0;0;0
2010;68418;SANTANDER;LOS SANTOS;0,0004313320;0,0504313320;0;0;0;0;0;0
2008;25745;CUNDINAMARCA;SIMIJACA;0,0004311088;0,0504311088;0;1;1;1;0;0
2013;15804;BOYACA;TIBANA;0,0004303389;0,0504303389;0;0;0;0;0;0
2015;54099;NORTE DE SANTANDER;BOCHALEMA;0,0004302309;0,0504302309;0;0;0;0;0;0
2014;44560;LA GUAJIRA;MANAURE;0,0004300344;0,0504300344;0;0;0;0;0;0
2016;23182;CORDOBA;CHINU;0,0004299666;0,0504299666;0;0;0;0;0;0
2004;68705;SANTANDER;SANTA BARBARA;0,0004290004;0,0504290004;0;0;0;0;0;0
2010;66170;RISARALDA;DOSQUEBRADAS;0,0004283199;0,0504283199;0;1;1;0;6;0
2005;25754;CUNDINAMARCA;SOACHA;0,0004278650;0,0504278650;0;1;1;0;80;1
2012;25398;CUNDINAMARCA;LA PEÑA;0,0004276550;0,0504276550;0;0;0;0;0;0
2013;68077;SANTANDER;BARBOSA;0,0004265605;0,0504265605;0;0;0;0;0;0
2016;25398;CUNDINAMARCA;LA PEÑA;0,0004264392;0,0504264392;0;0;0;0;0;0
2002;25797;CUNDINAMARCA;TENA;0,0004246285;0,0504246285;0;1;1;0;0;0
2014;8758;ATLANTICO;SOLEDAD;0,0004240316;0,0504240316;0;0;1;0;4;1
